region,ci_name,ci_frequency,standard_name,units,mid_month,HSf3_year_2C_rcp85_ensemble-robustness
09362_Regensburg,HSf3,year,hot_spell_frequency,,7,2
09363_09374_Region_um_Weiden_in_der_Oberpfalz,HSf3,year,hot_spell_frequency,,7,2
09363_Weiden i.d. OPf.,HSf3,year,hot_spell_frequency,,7,2
09371_Amberg-Sulzbach,HSf3,year,hot_spell_frequency,,7,2
09372_Cham,HSf3,year,hot_spell_frequency,,7,2
09373_Neumarkt i.d. OPf.,HSf3,year,hot_spell_frequency,,7,2
09374_Neustadt a.d. Waldnaab,HSf3,year,hot_spell_frequency,,7,2
09375_Regensburg,HSf3,year,hot_spell_frequency,,7,2
09376_Schwandorf,HSf3,year,hot_spell_frequency,,7,2
09377_Tirschenreuth,HSf3,year,hot_spell_frequency,,7,2
09461_09471_Region_um_Bamberg,HSf3,year,hot_spell_frequency,,7,2
09461_Bamberg,HSf3,year,hot_spell_frequency,,7,2
09462_09472_Region_um_Bayreuth,HSf3,year,hot_spell_frequency,,7,2
09462_Bayreuth,HSf3,year,hot_spell_frequency,,7,2
09463_09473_Region_um_Coburg,HSf3,year,hot_spell_frequency,,7,2
09463_Coburg,HSf3,year,hot_spell_frequency,,7,2
09464_09475_Region_um_Hof,HSf3,year,hot_spell_frequency,,7,1
09464_Hof,HSf3,year,hot_spell_frequency,,7,1
09471_Bamberg,HSf3,year,hot_spell_frequency,,7,2
09472_Bayreuth,HSf3,year,hot_spell_frequency,,7,2
09473_Coburg,HSf3,year,hot_spell_frequency,,7,2
09474_Forchheim,HSf3,year,hot_spell_frequency,,7,2
09475_Hof,HSf3,year,hot_spell_frequency,,7,1
09476_Kronach,HSf3,year,hot_spell_frequency,,7,2
09477_Kulmbach,HSf3,year,hot_spell_frequency,,7,2
09478_Lichtenfels,HSf3,year,hot_spell_frequency,,7,2
09479_Wunsiedel i. Fichtelgebirge,HSf3,year,hot_spell_frequency,,7,2
09561_09571_Region_um_Ansbach,HSf3,year,hot_spell_frequency,,7,2
09561_Ansbach,HSf3,year,hot_spell_frequency,,7,2
09562_09572_09564_09563_Region_um_Erlangen,HSf3,year,hot_spell_frequency,,7,2
09562_Erlangen,HSf3,year,hot_spell_frequency,,7,2
09563_09573_09562_09564_Region_um_Fürth,HSf3,year,hot_spell_frequency,,7,2
09563_Fürth,HSf3,year,hot_spell_frequency,,7,2
09564_09563_09574_09565_09573_09572_09576_09562_Region_um_Nürnberg,HSf3,year,hot_spell_frequency,,7,2
09564_Nürnberg,HSf3,year,hot_spell_frequency,,7,2
09565_09576_09564_Region_um_Schwabach,HSf3,year,hot_spell_frequency,,7,2
09565_Schwabach,HSf3,year,hot_spell_frequency,,7,2
09571_Ansbach,HSf3,year,hot_spell_frequency,,7,2
09572_Erlangen-Höchstadt,HSf3,year,hot_spell_frequency,,7,2
09573_09572_09562_09563_09574_09565_09576_09561_09571_09575_09564_Region_um_Fürth,HSf3,year,hot_spell_frequency,,7,2
09573_Fürth,HSf3,year,hot_spell_frequency,,7,2
09574_Nürnberger Land,HSf3,year,hot_spell_frequency,,7,2
09575_Neustadt a.d. Aisch-Bad Windsheim,HSf3,year,hot_spell_frequency,,7,2
