region,DSx5_year_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
09179_Fürstenfeldbruck,-0.17372708,DSx5,year,dry_spell_duration,days,7
09180_Garmisch-Partenkirchen,-0.1597782,DSx5,year,dry_spell_duration,days,7
09181_Landsberg am Lech,-0.09347228,DSx5,year,dry_spell_duration,days,7
09182_Miesbach,-0.08426907,DSx5,year,dry_spell_duration,days,7
09183_Mühldorf a. Inn,-0.1596118,DSx5,year,dry_spell_duration,days,7
09184_München,-0.13234927,DSx5,year,dry_spell_duration,days,7
09185_Neuburg-Schrobenhausen,0.031100592,DSx5,year,dry_spell_duration,days,7
09186_Pfaffenhofen a.d. Ilm,-0.06485512,DSx5,year,dry_spell_duration,days,7
09187_Rosenheim,-0.14222217,DSx5,year,dry_spell_duration,days,7
09188_Starnberg,-0.17686163,DSx5,year,dry_spell_duration,days,7
09189_Traunstein,-0.1423185,DSx5,year,dry_spell_duration,days,7
09190_Weilheim-Schongau,-0.15987962,DSx5,year,dry_spell_duration,days,7
09261_09274_Region_um_Landshut,-0.11491339,DSx5,year,dry_spell_duration,days,7
09261_Landshut,-0.035763673,DSx5,year,dry_spell_duration,days,7
09262_09275_Region_um_Passau,-0.12358112,DSx5,year,dry_spell_duration,days,7
09262_Passau,-0.11130592,DSx5,year,dry_spell_duration,days,7
09263_09278_Region_um_Straubing,-0.15466583,DSx5,year,dry_spell_duration,days,7
09263_Straubing,-0.1340599,DSx5,year,dry_spell_duration,days,7
09271_Deggendorf,-0.14708912,DSx5,year,dry_spell_duration,days,7
09272_Freyung-Grafenau,0.03230386,DSx5,year,dry_spell_duration,days,7
09273_Kelheim,-0.12874115,DSx5,year,dry_spell_duration,days,7
09274_Landshut,-0.11915106,DSx5,year,dry_spell_duration,days,7
09275_Passau,-0.12414994,DSx5,year,dry_spell_duration,days,7
09276_Regen,-0.044753376,DSx5,year,dry_spell_duration,days,7
09277_Rottal-Inn,-0.009034993,DSx5,year,dry_spell_duration,days,7
09278_Straubing-Bogen,-0.15588407,DSx5,year,dry_spell_duration,days,7
09279_Dingolfing-Landau,-0.1257555,DSx5,year,dry_spell_duration,days,7
09361_09371_Region_um_Amberg,-0.14137419,DSx5,year,dry_spell_duration,days,7
09361_Amberg,-0.17959835,DSx5,year,dry_spell_duration,days,7
09362_09375_Region_um_Regensburg,-0.12041069,DSx5,year,dry_spell_duration,days,7
09362_Regensburg,-0.006754474,DSx5,year,dry_spell_duration,days,7
09363_09374_Region_um_Weiden_in_der_Oberpfalz,-0.18649298,DSx5,year,dry_spell_duration,days,7
09363_Weiden i.d. OPf.,-0.25102395,DSx5,year,dry_spell_duration,days,7
