region,FD_year_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
09363_Weiden i.d. OPf.,-5.7339935302734375,FD,year,days_with_air_temperature_below_threshold,days,7
09371_Amberg-Sulzbach,-4.581451416015625,FD,year,days_with_air_temperature_below_threshold,days,7
09372_Cham,-6.7577972412109375,FD,year,days_with_air_temperature_below_threshold,days,7
09373_Neumarkt i.d. OPf.,-4.767974853515625,FD,year,days_with_air_temperature_below_threshold,days,7
09374_Neustadt a.d. Waldnaab,-6.27276611328125,FD,year,days_with_air_temperature_below_threshold,days,7
09375_Regensburg,-4.631935119628906,FD,year,days_with_air_temperature_below_threshold,days,7
09376_Schwandorf,-5.543693542480469,FD,year,days_with_air_temperature_below_threshold,days,7
09377_Tirschenreuth,-7.6908416748046875,FD,year,days_with_air_temperature_below_threshold,days,7
09461_Bamberg,-3.304668426513672,FD,year,days_with_air_temperature_below_threshold,days,7
09462_Bayreuth,-5.525382995605469,FD,year,days_with_air_temperature_below_threshold,days,7
09463_Coburg,-5.194385528564453,FD,year,days_with_air_temperature_below_threshold,days,7
09464_Hof,-7.352287292480469,FD,year,days_with_air_temperature_below_threshold,days,7
09471_Bamberg,-3.9309120178222656,FD,year,days_with_air_temperature_below_threshold,days,7
09472_Bayreuth,-6.08087158203125,FD,year,days_with_air_temperature_below_threshold,days,7
09473_Coburg,-4.5911102294921875,FD,year,days_with_air_temperature_below_threshold,days,7
09474_Forchheim,-4.37286376953125,FD,year,days_with_air_temperature_below_threshold,days,7
09475_Hof,-8.272712707519531,FD,year,days_with_air_temperature_below_threshold,days,7
09476_Kronach,-7.756004333496094,FD,year,days_with_air_temperature_below_threshold,days,7
09477_Kulmbach,-5.678047180175781,FD,year,days_with_air_temperature_below_threshold,days,7
09478_Lichtenfels,-4.563610076904297,FD,year,days_with_air_temperature_below_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,-7.818061828613281,FD,year,days_with_air_temperature_below_threshold,days,7
09561_Ansbach,-4.870944976806641,FD,year,days_with_air_temperature_below_threshold,days,7
09562_Erlangen,-2.021778106689453,FD,year,days_with_air_temperature_below_threshold,days,7
09563_Fürth,-2.2053794860839844,FD,year,days_with_air_temperature_below_threshold,days,7
09564_Nürnberg,-2.1506385803222656,FD,year,days_with_air_temperature_below_threshold,days,7
09565_Schwabach,-2.417308807373047,FD,year,days_with_air_temperature_below_threshold,days,7
09571_Ansbach,-4.537525177001953,FD,year,days_with_air_temperature_below_threshold,days,7
09572_Erlangen-Höchstadt,-2.5351104736328125,FD,year,days_with_air_temperature_below_threshold,days,7
09573_Fürth,-2.9192428588867188,FD,year,days_with_air_temperature_below_threshold,days,7
09574_Nürnberger Land,-3.893157958984375,FD,year,days_with_air_temperature_below_threshold,days,7
09575_Neustadt a.d. Aisch-Bad Windsheim,-3.279266357421875,FD,year,days_with_air_temperature_below_threshold,days,7
09576_Roth,-3.080474853515625,FD,year,days_with_air_temperature_below_threshold,days,7
09577_Weißenburg-Gunzenhausen,-5.077720642089844,FD,year,days_with_air_temperature_below_threshold,days,7
09661_Aschaffenburg,-1.5772132873535156,FD,year,days_with_air_temperature_below_threshold,days,7
09662_Schweinfurt,-3.1000022888183594,FD,year,days_with_air_temperature_below_threshold,days,7
09663_Würzburg,-2.4047889709472656,FD,year,days_with_air_temperature_below_threshold,days,7
09671_Aschaffenburg,-2.5171775817871094,FD,year,days_with_air_temperature_below_threshold,days,7
