region,HSx3_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
08311_08316_08315_Region_um_Freiburg_im_Breisgau,0.07502371072769165,HSx3,year,hot_spell_duration,days,7
08311_Freiburg im Breisgau,0.061774466186761856,HSx3,year,hot_spell_duration,days,7
08315_Breisgau-Hochschwarzwald,0.016775667667388916,HSx3,year,hot_spell_duration,days,7
08316_Emmendingen,0.15616238117218018,HSx3,year,hot_spell_duration,days,7
08317_Ortenaukreis,0.1623338758945465,HSx3,year,hot_spell_duration,days,7
08325_Rottweil,-0.041845083236694336,HSx3,year,hot_spell_duration,days,7
08326_Schwarzwald-Baar-Kreis,-0.32154732942581177,HSx3,year,hot_spell_duration,days,7
08327_Tuttlingen,-0.2677430808544159,HSx3,year,hot_spell_duration,days,7
08335_Konstanz,0.038857799023389816,HSx3,year,hot_spell_duration,days,7
08336_Lörrach,0.06315720081329346,HSx3,year,hot_spell_duration,days,7
08337_Waldshut,-0.055325984954833984,HSx3,year,hot_spell_duration,days,7
08415_Reutlingen,-0.0057481154799461365,HSx3,year,hot_spell_duration,days,7
08416_Tübingen,0.196437269449234,HSx3,year,hot_spell_duration,days,7
08417_Zollernalbkreis,-0.0747562050819397,HSx3,year,hot_spell_duration,days,7
08421_08425_09775_Region_um_Ulm,0.043111659586429596,HSx3,year,hot_spell_duration,days,7
08421_Ulm,0.03333333134651184,HSx3,year,hot_spell_duration,days,7
08425_Alb-Donau-Kreis,0.03066832572221756,HSx3,year,hot_spell_duration,days,7
08426_Biberach,0.0016532465815544128,HSx3,year,hot_spell_duration,days,7
08435_Bodenseekreis,0.0131849255412817,HSx3,year,hot_spell_duration,days,7
08436_Ravensburg,-0.18098443746566772,HSx3,year,hot_spell_duration,days,7
08437_Sigmaringen,-0.10090678930282593,HSx3,year,hot_spell_duration,days,7
09161_09176_09185_09186_Region_um_Ingolstadt,0.12893247604370117,HSx3,year,hot_spell_duration,days,7
09161_Ingolstadt,0.03774595260620117,HSx3,year,hot_spell_duration,days,7
09162_09184_09179_09174_Region_um_München,-0.025175169110298157,HSx3,year,hot_spell_duration,days,7
09162_München,0.07710812240839005,HSx3,year,hot_spell_duration,days,7
09163_09187_Region_um_Rosenheim,-0.08209715038537979,HSx3,year,hot_spell_duration,days,7
09163_Rosenheim,-0.06834494322538376,HSx3,year,hot_spell_duration,days,7
09171_Altötting,-0.10696566849946976,HSx3,year,hot_spell_duration,days,7
09172_Berchtesgadener Land,-0.03414306789636612,HSx3,year,hot_spell_duration,days,7
09173_Bad Tölz-Wolfratshausen,-0.2286229431629181,HSx3,year,hot_spell_duration,days,7
