region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09182_Miesbach,-0.04421398043632507,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09183_Mühldorf a. Inn,0.18218445777893066,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09184_München,0.1325998306274414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09185_Neuburg-Schrobenhausen,0.3169896602630615,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,0.3481777608394623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09187_Rosenheim,0.020555511116981506,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09188_Starnberg,-0.05000896751880646,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09189_Traunstein,0.02225203812122345,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09190_Weilheim-Schongau,-0.08014146983623505,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09261_Landshut,0.18056976795196533,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09262_Passau,0.18409794569015503,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09263_Straubing,0.26494622230529785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09271_Deggendorf,0.2806030511856079,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09272_Freyung-Grafenau,-0.07976341247558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09273_Kelheim,0.2701989710330963,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09274_Landshut,0.3457937240600586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09275_Passau,0.28047069907188416,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09276_Regen,-0.07353636622428894,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09277_Rottal-Inn,0.24517697095870972,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09278_Straubing-Bogen,0.236293226480484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09279_Dingolfing-Landau,0.3440895080566406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09361_Amberg,-0.2537708282470703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09362_Regensburg,0.233699232339859,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09363_Weiden i.d. OPf.,-0.47620534896850586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09371_Amberg-Sulzbach,0.10285665839910507,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09372_Cham,0.07496987283229828,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
